id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
21829139,Grand 2BR in Back Bay by Sonder,12243051,Sonder,,Back Bay,42.3496917510032,-71.08801975379703,Entire home/apt,699,2,5,2018-04-29,0.95,291,113
21829283,Great 1-bed in North End,1399007,Jon,,North End,42.3649553228226,-71.05518650112371,Entire home/apt,90,3,23,2018-04-27,3.90,1,4
21829663,Cozy Airport Apt.,136622901,Kelly,,East Boston,42.38249416809837,-71.01510017512213,Entire home/apt,100,1,2,2018-05-13,2,1,142
21833837,Cozy Beacon Hill 1BR/1BA,72100544,Kristen,,Beacon Hill,42.359909974941644,-71.06343463673117,Entire home/apt,150,1,5,2018-05-06,1.06,1,0
21835563,Big Apartment in the center of Boston,9626463,Jordi,,West End,42.36311455788128,-71.0644303415706,Entire home/apt,148,2,9,2018-04-25,1.90,1,9
21836859,Sunny Studio in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35158063998081,-71.06210454738797,Entire home/apt,699,2,1,2018-04-29,1,291,131
21836880,Modern 1BR in Mission Hill by Sonder,12243051,Sonder,,Mission Hill,42.33228014340216,-71.09928400223657,Entire home/apt,699,2,2,2018-04-01,0.80,291,94
21837174,Bi-Level 1BR in Downtown Crossing by Sonder,12243051,Sonder,,Chinatown,42.35113686702946,-71.06219091836931,Entire home/apt,699,2,6,2018-04-22,1.04,291,120
21838021,Modern 2BR in Lower Allston by Sonder,12243051,Sonder,,Allston,42.357565919862076,-71.13526982928727,Entire home/apt,699,2,6,2018-04-27,1.11,291,102
21838288,Charming 2BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.337787916312266,-71.15463760431918,Entire home/apt,59,2,1,2018-03-14,0.45,291,96
21838660,Perfect 2BD 2FB apt in an excellent location,159242376,Monty,,West Roxbury,42.278136385064066,-71.16986650445867,Entire home/apt,89,5,2,2018-01-29,0.45,1,0
21839232,Vacation Home next to Subway 3 minuets,119352334,Thuy,,Dorchester,42.28749291527572,-71.06343216308355,Private room,60,1,4,2018-04-16,0.88,3,358
21843360,Marriott Custom House Boston,10896845,Shafrit,,Downtown,42.35839447862112,-71.0541269422591,Private room,203,1,1,,,2,5
21845421,Bright 1BR in Brighton by Sonder,12243051,Sonder,,Brighton,42.33891751055805,-71.1539392548635,Entire home/apt,59,2,2,2018-03-24,0.97,291,98
21848299,*New* Modern/Entire apt/1bdrm/Tstop/Ideal location,31829019,Uciane,,South Boston,42.34283305785449,-71.056085135565,Entire home/apt,180,2,0,,,1,3
21849098,Classic 2BR in Lower Allston by Sonder,12243051,Sonder,,Allston,42.35593082558804,-71.1355757634544,Entire home/apt,699,2,0,,,291,101
21849276,Nice large public room Convenient location Fenway,133550745,Min,,Fenway,42.34295160893364,-71.0985624866131,Shared room,58,1,2,2018-04-04,0.66,1,1
21850219,Stunning 1BR in Allston by Sonder,12243051,Sonder,,Allston,42.356827274828284,-71.1354874288162,Entire home/apt,699,2,12,2018-04-27,2.11,291,61
21859346,Luxury Boston Apartment 118,158837906,Hesham,,Downtown,42.36549202267973,-71.06305171568937,Entire home/apt,219,30,1,2018-01-27,0.27,3,82
21861361,Parker Hill 206 | 1BR 1BA |  Beth Israel Deaconess,71783,Lance,,Mission Hill,42.331695696768406,-71.10944655875673,Entire home/apt,150,2,4,2018-04-27,1.69,24,38
